patient_assignment	tissue_assignment	disease_assignment	celltype	n_cells	mean_up_score	mean_down_score	mean_disease_axis_score	mean_up_detected	mean_down_detected	mean_total_umi
C1	R	healthy	B	84	4.10928	0.583922	3.52536	7.34524	1.08333	9143.5
C1	R	healthy	NK	6	4.93725	1.64303	3.29422	9.16667	1.33333	4008.17
C1	R	healthy	T	162	4.85241	1.04963	3.80278	8.15432	1.15432	4556.76
C1	R	healthy	unknown	69	4.66919	0.707599	3.9616	5.52174	0.492754	2356.19
C2	R	healthy	B	948	4.01883	0.553988	3.46484	6.43987	0.736287	7464.06
C2	R	healthy	M/DC	14	4.56293	0.614524	3.94841	13.2857	0.857143	6844.14
C2	R	healthy	NK	4	4.71757	1.66308	3.05449	8	2	4824
C2	R	healthy	T	770	4.66381	1.01753	3.64628	5.61039	0.736364	2251.94
C2	R	healthy	unknown	175	4.4299	0.671811	3.75808	4.70286	0.52	2679.75
C3	R	healthy	B	39	4.21293	0.511085	3.70185	5.02564	0.461538	3376.36
C3	R	healthy	M/DC	37	5.43266	0.966005	4.46666	12.1892	0.702703	2715.38
C3	R	healthy	NK	28	4.85253	0.891824	3.96071	4.57143	0.535714	1727.46
C3	R	healthy	T	626	4.81195	0.754931	4.05702	4.70288	0.408946	1460.31
C3	R	healthy	unknown	1682	4.75991	0.626993	4.13292	4.75565	0.388228	1640.88
C4	R	healthy	B	354	4.35789	0.691909	3.66598	8.47458	0.855932	6602.79
C4	R	healthy	M/DC	3	5.29402	0.979617	4.31441	21.3333	1	6112.33
C4	R	healthy	NK	14	5.05766	1.62481	3.43285	8.07143	1.57143	3943.57
C4	R	healthy	T	295	4.84434	1.01514	3.82921	6.9661	0.847458	3066.94
C4	R	healthy	unknown	362	4.95227	0.997689	3.95458	6.55525	0.743094	2455.03
C5	R	healthy	unknown	997	4.78227	0.971732	3.81053	6.81846	0.809428	3133.14
C6	R	healthy	unknown	2580	4.70693	0.596457	4.11048	5.17674	0.357364	2230.29
C7	R	healthy	unknown	2189	4.65222	0.762157	3.89006	6.57972	0.679762	4316.04
C8	R	healthy	unknown	2074	4.42371	0.435265	3.98844	4.87946	0.289778	3213.61
U1	R	diseased	B	559	4.62382	0.494354	4.12947	7.95528	0.445438	4014.82
U1	R	diseased	M/DC	15	5.05938	0.606791	4.45259	17.3333	0.733333	5392.73
U1	R	diseased	NK	14	4.60271	0.758444	3.84427	6.57143	0.642857	2595.21
U1	R	diseased	T	861	4.44738	0.739942	3.70744	6.02904	0.560976	2493.18
U1	R	diseased	unknown	1128	4.47736	0.696928	3.78044	6.22518	0.536348	2976.52
U2	R	diseased	B	369	4.38267	0.349232	4.03344	5.7832	0.233062	2025.28
U2	R	diseased	M/DC	17	4.93396	0.642247	4.29171	12.6471	0.411765	2911.29
U2	R	diseased	NK	5	4.578	2.2341	2.34389	5.8	1	1170.8
U2	R	diseased	T	450	4.49158	0.623743	3.86784	4.30444	0.337778	1399.6
U2	R	diseased	unknown	1576	4.40141	0.50895	3.89246	4.98096	0.293147	1630.46
U3	R	diseased	B	1075	4.46508	0.437298	4.02778	7.19628	0.387907	4034.73
U3	R	diseased	M/DC	66	4.96071	0.568749	4.39196	17.6818	0.560606	5131.8
U3	R	diseased	NK	25	4.6101	1.08753	3.52258	6.56	0.72	2636.04
U3	R	diseased	T	542	4.33646	0.700754	3.63571	5.33579	0.448339	2026.35
U3	R	diseased	unknown	1344	4.37603	0.586774	3.78926	6.41295	0.47619	3626.98
U4	R	diseased	B	536	4.50502	0.466251	4.03877	7.28358	0.333955	2704.19
U4	R	diseased	M/DC	31	4.99997	0.888464	4.1115	18.3548	1.16129	7082.81
U4	R	diseased	NK	116	4.8614	1.20214	3.65927	6.93966	0.844828	2216.79
U4	R	diseased	T	602	4.63293	0.917742	3.71519	6.32392	0.599668	2067.56
U4	R	diseased	unknown	1501	4.62103	0.73479	3.88624	6.503	0.522318	2387.29
U5	R	diseased	B	226	4.80675	0.471593	4.33516	8.25221	0.39823	3337.5
U5	R	diseased	M/DC	16	5.23721	0.467759	4.76945	23.25	0.75	8403.25
U5	R	diseased	NK	51	4.9938	1.31007	3.68373	7.07843	0.882353	2463.49
U5	R	diseased	T	664	4.97321	0.932544	4.04067	7.35994	0.673193	2304.38
U5	R	diseased	unknown	1412	4.94682	0.818685	4.12814	7.26983	0.584986	2464.12
U6	R	diseased	B	336	4.5527	0.419581	4.13312	6.74702	0.416667	5527.24
U6	R	diseased	M/DC	23	5.0455	0.206065	4.83944	13.1304	0.173913	3293.74
U6	R	diseased	NK	10	4.58743	0.972898	3.61454	6	0.7	1929.6
U6	R	diseased	T	559	4.59974	0.547008	4.05273	5.09302	0.277281	1335.4
U6	R	diseased	unknown	2111	4.5911	0.545147	4.04595	5.52108	0.347229	2629.96
U7	R	diseased	B	249	4.62158	0.424013	4.19756	6.86747	0.309237	3222.76
U7	R	diseased	M/DC	33	5.02583	0.403071	4.62276	15.3939	0.363636	3705.88
U7	R	diseased	NK	40	4.87305	1.27693	3.59612	6.675	0.75	2004.3
U7	R	diseased	T	559	4.62273	0.764531	3.8582	5.61538	0.427549	1580.72
U7	R	diseased	unknown	1521	4.60805	0.771168	3.83688	5.7265	0.458251	1998.57
