db_version	rank	score	pert_id	pert_desc	sig_id	cell_id	pert_dose	pert_dose_unit	pert_time	pert_time_unit	pubchem_id	drugbank_id
cpcd-gse70138-v1.0	1	0.1242	BRD-K54606188	(+)-JQ1	LJP008_HA1E_24H:BRD-K54606188:3.33	HA1E	3.33	um	24	h		
cpcd-gse70138-v1.0	2	0.1056	BRD-A58767537	afatinib	LJP006_HME1_24H:BRD-A58767537:1.11	HME1	1.11	um	24	h	22225683	
cpcd-gse70138-v1.0	3	0.0994	BRD-K12343256	trametinib	LJP005_HEPG2_24H:BRD-K12343256:1.11	HEPG2	1.11	um	24	h	11707110	
cpcd-gse70138-v1.0	4	0.0932	BRD-K65182930	NVP-AUY922	LJP005_A549_24H:BRD-K65182930:0.37	A549	0.37	um	24	h		
cpcd-gse70138-v1.0	5	0.0932	BRD-K41895714	AS-605240	LJP006_HME1_24H:BRD-K41895714:0.37	HME1	0.37	um	24	h	10377751	
cpcd-gse70138-v1.0	6	0.087	BRD-K36529613	P0030	CPC014_PHH_24H:BRD-K36529613:10.0	PHH	10.0	um	24.0	h	9549213	
cpcd-gse70138-v1.0	7	0.087	BRD-K49865102	PD-0325901	LJP005_HEPG2_24H:BRD-K49865102:0.04	HEPG2	0.04	um	24	h	9826528	
cpcd-gse70138-v1.0	8	0.0807	BRD-A19500257	geldanamycin	CPC006_HA1E_24H:BRD-A19500257:10.0	HA1E	10.0	um	24.0	h	13017911	
cpcd-gse70138-v1.0	9	0.0807	BRD-K44640865	VU0365121-1	CPC008_A375_24H:BRD-K44640865:10.0	A375	10.0	um	24.0	h	53338864	
cpcd-gse70138-v1.0	10	0.0807	BRD-K52163391	NCGC00165208-01	CPC008_HCC515_6H:BRD-K52163391:10.0	HCC515	10.0	um	6.0	h	17757095	
cpcd-gse70138-v1.0	11	0.0807	BRD-K49865102	PD-0325901	LJP005_HEPG2_24H:BRD-K49865102:0.12	HEPG2	0.12	um	24	h	9826528	
cpcd-gse70138-v1.0	12	0.0807	BRD-K02708799	GSK-1059615	LJP008_HCC515_24H:BRD-K02708799:0.37	HCC515	0.37	um	24	h	23658330	
cpcd-gse70138-v1.0	13	0.0807	BRD-K57080016	selumetinib	LJP006_HEPG2_24H:BRD-K57080016:10	HEPG2	10	um	24	h	10127622	
cpcd-gse70138-v1.0	14	0.0807	BRD-K49328571	dasatinib	LJP006_HME1_3H:BRD-K49328571:3.33	HME1	3.33	um	3	h	3062316	DB01254
cpcd-gse70138-v1.0	15	0.0807	BRD-K49865102	PD-0325901	LJP006_HME1_3H:BRD-K49865102:3.33	HME1	3.33	um	3	h	9826528	
cpcd-gse70138-v1.0	16	0.0807	BRD-K40738845	BMS-777607	LJP007_A375_24H:BRD-K40738845:10	A375	10	um	24	h	24794418	
cpcd-gse70138-v1.0	17	0.0807	BRD-K13094524	PFI-1	LJP008_HA1E_24H:BRD-K13094524:10	HA1E	10	um	24	h		
cpcd-gse70138-v1.0	18	0.0807	BRD-K36363294	I-BET151	LJP008_HA1E_24H:BRD-K36363294:0.37	HA1E	0.37	um	24	h		
cpcd-gse70138-v1.0	19	0.0745	BRD-A72703248	SKF 96365 hydrochloride	CPC004_HCC515_24H:BRD-A72703248:10.0	HCC515	10.0	um	24.0	h	104956	
cpcd-gse70138-v1.0	20	0.0745	BRD-K12184916	-666	CPC006_RMGI_6H:BRD-K12184916:0.63	RMGI	0.63	um	6.0	h	11977753	
cpcd-gse70138-v1.0	21	0.0745	BRD-K06543683	-666	CPC016_A375_6H:BRD-K06543683:10.0	A375	10.0	um	6.0	h	5083	
cpcd-gse70138-v1.0	22	0.0745	BRD-K12343256	trametinib	LJP005_HEPG2_24H:BRD-K12343256:0.37	HEPG2	0.37	um	24	h	11707110	
cpcd-gse70138-v1.0	23	0.0745	BRD-A87137733	GSK-690693	LJP005_HEPG2_24H:BRD-A87137733:10	HEPG2	10	um	24	h	16048642	
cpcd-gse70138-v1.0	24	0.0745	BRD-A18328003	GDC-0980	LJP005_MCF10A_3H:BRD-A18328003:0.37	MCF10A	0.37	um	3	h		
cpcd-gse70138-v1.0	25	0.0745	BRD-A39996500	radicicol	LJP006_HME1_24H:BRD-A39996500:0.37	HME1	0.37	um	24	h	5311380	
cpcd-gse70138-v1.0	26	0.0745	BRD-K46056750	AZD-7762	LJP006_HME1_3H:BRD-K46056750:1.11	HME1	1.11	um	3	h	67077825	
cpcd-gse70138-v1.0	27	0.0745	BRD-K99749624	linifanib	LJP006_HME1_3H:BRD-K99749624:0.37	HME1	0.37	um	3	h	11485656	
cpcd-gse70138-v1.0	28	0.0745	BRD-K88573743	A443654	LJP006_PC3_24H:BRD-K88573743:1.11	PC3	1.11	um	24	h		
cpcd-gse70138-v1.0	29	0.0745	BRD-K02708799	GSK-1059615	LJP007_HA1E_24H:BRD-K02708799:3.33	HA1E	3.33	um	24	h	23658330	
cpcd-gse70138-v1.0	30	0.0745	BRD-K36363294	I-BET151	LJP008_HA1E_24H:BRD-K36363294:3.33	HA1E	3.33	um	24	h		
cpcd-gse70138-v1.0	31	0.0745	BRD-K36363294	I-BET151	LJP008_HA1E_24H:BRD-K36363294:10	HA1E	10	um	24	h		
cpcd-gse70138-v1.0	32	0.0683	BRD-K81473043	-666	CPC006_A375_24H:BRD-K81473043:0.35	A375	0.35	um	24.0	h	44634694	
cpcd-gse70138-v1.0	33	0.0683	BRD-K41895714	AS605240	CPC006_A549_6H:BRD-K41895714:10.0	A549	10.0	um	6.0	h	10377751	
cpcd-gse70138-v1.0	34	0.0683	BRD-K81418486	vorinostat	CPC006_HT29_24H:BRD-K81418486:10.0	HT29	10.0	um	24.0	h	5311	DB02546
cpcd-gse70138-v1.0	35	0.0683	BRD-K81418486	vorinostat	CPC006_HT29_6H:BRD-K81418486:10.0	HT29	10.0	um	6.0	h	5311	DB02546
cpcd-gse70138-v1.0	36	0.0683	BRD-K49371609	528116.cdx	CPC006_PC3_24H:BRD-K49371609:0.09	PC3	0.09	um	24.0	h	10275789	
cpcd-gse70138-v1.0	37	0.0683	BRD-K88622704	NCGC00165193-01	CPC008_HCC515_6H:BRD-K88622704:10.0	HCC515	10.0	um	6.0	h	17757080	
cpcd-gse70138-v1.0	38	0.0683	BRD-K56343971	HY-10247	CPC014_A375_6H:BRD-K56343971:10.0	A375	10.0	um	6.0	h	42611257	
cpcd-gse70138-v1.0	39	0.0683	BRD-A26002865	V4877	CPC014_PC3_24H:BRD-A26002865:10.0	PC3	10.0	um	24.0	h	104830	
cpcd-gse70138-v1.0	40	0.0683	BRD-A19037878	trichostatin A	CPC015_HT29_6H:BRD-A19037878:10.0	HT29	10.0	um	6.0	h	6376322	
cpcd-gse70138-v1.0	41	0.0683	BRD-K81418486	vorinostat	CPC018_HT29_6H:BRD-K81418486:10.0	HT29	10.0	um	6.0	h	5311	DB02546
cpcd-gse70138-v1.0	42	0.0683	BRD-K71799949	carbamazepine	CPC020_A549_6H:BRD-K71799949:10.0	A549	10.0	um	6.0	h	2554	DB00564
cpcd-gse70138-v1.0	43	0.0683	BRD-K76401790	JNK-IN-5A	LJP009_PC3_24H:BRD-K76401790:10	PC3	10	um	24	h		
cpcd-gse70138-v1.0	44	0.0683	BRD-K49865102	PD-0325901	LJP009_HT29_24H:BRD-K49865102:0.12	HT29	0.12	um	24	h	9826528	
cpcd-gse70138-v1.0	45	0.0683	BRD-K67578145	GDC-0879	LJP009_HEPG2_24H:BRD-K67578145:10	HEPG2	10	um	24	h	11717001	
cpcd-gse70138-v1.0	46	0.0683	BRD-K02708799	GSK-1059615	LJP009_HCC515_24H:BRD-K02708799:10	HCC515	10	um	24	h	23658330	
cpcd-gse70138-v1.0	47	0.0683	BRD-U64521890	XMD16-144	LJP005_HCC515_24H:BRD-U64521890:1.11	HCC515	1.11	um	24	h		
cpcd-gse70138-v1.0	48	0.0683	BRD-K49865102	PD-0325901	LJP008_HEPG2_24H:BRD-K49865102:10	HEPG2	10	um	24	h	9826528	
cpcd-gse70138-v1.0	49	0.0683	BRD-K07667918	linsitinib	LJP005_MCF7_24H:BRD-K07667918:0.37	MCF7	0.37	um	24	h	11640390	
cpcd-gse70138-v1.0	50	0.0683	BRD-K07667918	linsitinib	LJP005_MCF7_3H:BRD-K07667918:3.33	MCF7	3.33	um	3	h	11640390	
cpcd-gse70138-lm-v1.0	1	0.1242	BRD-K54606188	(+)-JQ1	LJP008_HA1E_24H:BRD-K54606188:3.33	HA1E	3.33	um	24	h		
cpcd-gse70138-lm-v1.0	2	0.1056	BRD-A58767537	afatinib	LJP006_HME1_24H:BRD-A58767537:1.11	HME1	1.11	um	24	h	22225683	
cpcd-gse70138-lm-v1.0	3	0.0994	BRD-K12343256	trametinib	LJP005_HEPG2_24H:BRD-K12343256:1.11	HEPG2	1.11	um	24	h	11707110	
cpcd-gse70138-lm-v1.0	4	0.0932	BRD-K65182930	NVP-AUY922	LJP005_A549_24H:BRD-K65182930:0.37	A549	0.37	um	24	h		
cpcd-gse70138-lm-v1.0	5	0.0932	BRD-K41895714	AS-605240	LJP006_HME1_24H:BRD-K41895714:0.37	HME1	0.37	um	24	h	10377751	
cpcd-gse70138-lm-v1.0	6	0.087	BRD-K36529613	P0030	CPC014_PHH_24H:BRD-K36529613:10.0	PHH	10.0	um	24.0	h	9549213	
cpcd-gse70138-lm-v1.0	7	0.087	BRD-K49865102	PD-0325901	LJP005_HEPG2_24H:BRD-K49865102:0.04	HEPG2	0.04	um	24	h	9826528	
cpcd-gse70138-lm-v1.0	8	0.0807	BRD-A19500257	geldanamycin	CPC006_HA1E_24H:BRD-A19500257:10.0	HA1E	10.0	um	24.0	h	13017911	
cpcd-gse70138-lm-v1.0	9	0.0807	BRD-K44640865	VU0365121-1	CPC008_A375_24H:BRD-K44640865:10.0	A375	10.0	um	24.0	h	53338864	
cpcd-gse70138-lm-v1.0	10	0.0807	BRD-K52163391	NCGC00165208-01	CPC008_HCC515_6H:BRD-K52163391:10.0	HCC515	10.0	um	6.0	h	17757095	
cpcd-gse70138-lm-v1.0	11	0.0807	BRD-K49865102	PD-0325901	LJP005_HEPG2_24H:BRD-K49865102:0.12	HEPG2	0.12	um	24	h	9826528	
cpcd-gse70138-lm-v1.0	12	0.0807	BRD-K02708799	GSK-1059615	LJP008_HCC515_24H:BRD-K02708799:0.37	HCC515	0.37	um	24	h	23658330	
cpcd-gse70138-lm-v1.0	13	0.0807	BRD-K57080016	selumetinib	LJP006_HEPG2_24H:BRD-K57080016:10	HEPG2	10	um	24	h	10127622	
cpcd-gse70138-lm-v1.0	14	0.0807	BRD-K49328571	dasatinib	LJP006_HME1_3H:BRD-K49328571:3.33	HME1	3.33	um	3	h	3062316	DB01254
cpcd-gse70138-lm-v1.0	15	0.0807	BRD-K49865102	PD-0325901	LJP006_HME1_3H:BRD-K49865102:3.33	HME1	3.33	um	3	h	9826528	
cpcd-gse70138-lm-v1.0	16	0.0807	BRD-K40738845	BMS-777607	LJP007_A375_24H:BRD-K40738845:10	A375	10	um	24	h	24794418	
cpcd-gse70138-lm-v1.0	17	0.0807	BRD-K13094524	PFI-1	LJP008_HA1E_24H:BRD-K13094524:10	HA1E	10	um	24	h		
cpcd-gse70138-lm-v1.0	18	0.0807	BRD-K36363294	I-BET151	LJP008_HA1E_24H:BRD-K36363294:0.37	HA1E	0.37	um	24	h		
cpcd-gse70138-lm-v1.0	19	0.0745	BRD-A72703248	SKF 96365 hydrochloride	CPC004_HCC515_24H:BRD-A72703248:10.0	HCC515	10.0	um	24.0	h	104956	
cpcd-gse70138-lm-v1.0	20	0.0745	BRD-K12184916	-666	CPC006_RMGI_6H:BRD-K12184916:0.63	RMGI	0.63	um	6.0	h	11977753	
cpcd-gse70138-lm-v1.0	21	0.0745	BRD-K06543683	-666	CPC016_A375_6H:BRD-K06543683:10.0	A375	10.0	um	6.0	h	5083	
cpcd-gse70138-lm-v1.0	22	0.0745	BRD-K12343256	trametinib	LJP005_HEPG2_24H:BRD-K12343256:0.37	HEPG2	0.37	um	24	h	11707110	
cpcd-gse70138-lm-v1.0	23	0.0745	BRD-A87137733	GSK-690693	LJP005_HEPG2_24H:BRD-A87137733:10	HEPG2	10	um	24	h	16048642	
cpcd-gse70138-lm-v1.0	24	0.0745	BRD-A18328003	GDC-0980	LJP005_MCF10A_3H:BRD-A18328003:0.37	MCF10A	0.37	um	3	h		
cpcd-gse70138-lm-v1.0	25	0.0745	BRD-A39996500	radicicol	LJP006_HME1_24H:BRD-A39996500:0.37	HME1	0.37	um	24	h	5311380	
cpcd-gse70138-lm-v1.0	26	0.0745	BRD-K46056750	AZD-7762	LJP006_HME1_3H:BRD-K46056750:1.11	HME1	1.11	um	3	h	67077825	
cpcd-gse70138-lm-v1.0	27	0.0745	BRD-K99749624	linifanib	LJP006_HME1_3H:BRD-K99749624:0.37	HME1	0.37	um	3	h	11485656	
cpcd-gse70138-lm-v1.0	28	0.0745	BRD-K88573743	A443654	LJP006_PC3_24H:BRD-K88573743:1.11	PC3	1.11	um	24	h		
cpcd-gse70138-lm-v1.0	29	0.0745	BRD-K02708799	GSK-1059615	LJP007_HA1E_24H:BRD-K02708799:3.33	HA1E	3.33	um	24	h	23658330	
cpcd-gse70138-lm-v1.0	30	0.0745	BRD-K36363294	I-BET151	LJP008_HA1E_24H:BRD-K36363294:3.33	HA1E	3.33	um	24	h		
cpcd-gse70138-lm-v1.0	31	0.0745	BRD-K36363294	I-BET151	LJP008_HA1E_24H:BRD-K36363294:10	HA1E	10	um	24	h		
cpcd-gse70138-lm-v1.0	32	0.0683	BRD-K81473043	-666	CPC006_A375_24H:BRD-K81473043:0.35	A375	0.35	um	24.0	h	44634694	
cpcd-gse70138-lm-v1.0	33	0.0683	BRD-K41895714	AS605240	CPC006_A549_6H:BRD-K41895714:10.0	A549	10.0	um	6.0	h	10377751	
cpcd-gse70138-lm-v1.0	34	0.0683	BRD-K81418486	vorinostat	CPC006_HT29_24H:BRD-K81418486:10.0	HT29	10.0	um	24.0	h	5311	DB02546
